eventID,occurrenceID,basisOfRecord,individualCount,organismQuantity,organismQuantityType,occurrenceStatus,scientificName,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,recordedBy,type,ownerInstitutionCode,Plot ,Transect,Method
NLP5,,Human Observation,1,1,individuals,present,,Animalia,Arthropoda,Collembola,Entomobryomorpha,Isotomidae,,,,Family,Hayward & Kevin,,,North,Lower,Pitfall
NLP5,,Human Observation,3,3,individuals,present,Myrmica rubra,Animalia,Arthropoda,Insecta,Hymenoptera,Myrmicinae,Mrymica,rubra,,Species,Hayward & Kevin,,,North,Lower,Pitfall
NLP6,,Human Observation,1,1,individuals,present,,Animalia,Arthropoda,Collembola,Entomobryomorpha,Isotomidae,,,,Family,Hayward & Kevin,,,North,Lower,Pitfall
NLP6,,Human Observation,1,1,individuals,present,,Animalia,Arthropoda,Insecta,Diptera,Ceratopogonidae,,,,Family,Hayward & Kevin,,,North,Lower,Pitfall
NLP7,,Human Observation,1,1,individuals,present,,Animalia,Arthropoda,Insecta,Diptera,Ceratopogonidae,,,,Family,Hayward & Kevin,,,North,Lower,Pitfall
NLP7,,Human Observation,1,1,individuals,present,,Animalia,Arthropoda,Insecta,Diptera,Calliphoridae,,,,Family,Hayward & Kevin,,,North,Lower,Pitfall
NLP7,,Human Observation,1,1,individuals,present,Stenus sp.,Animalia,Arthropoda,Insecta,Coleoptera,Steninae,Stenus,,,Genus,Hayward & Kevin,,,North,Lower,Pitfall
NLS1,,Human Observation,3,3,individuals,present,,Animalia,Arthropoda,Insecta,Hemiptera,Aphididae,,,,Family,Hayward & Kevin,,,North,Lower,Sweep-Netting
NLS1,,Human Observation,1,1,individuals,present,,Animalia,Arthropoda,Insecta,Hemiptera,Cercopidae,,,,Family,Hayward & Kevin,,,North,Lower,Sweep-Netting
NLS1,,Human Observation,1,1,individuals,present,Zygiella atrica,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Zygiella,atrica,,Species,Hayward & Kevin,,,North,Lower,Sweep-Netting
NLS1,,Human Observation,3,3,individuals,present,Metellina segmentata,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Metellina,segmentata,,Species,Hayward & Kevin,,,North,Lower,Sweep-Netting
NLS1,,Human Observation,3,3,individuals,present,,Animalia,Arthropoda,Insecta,Psocodea,,,,,Order,Hayward & Kevin,,,North,Lower,Sweep-Netting
NLS1,,Human Observation,1,1,individuals,present,Cepaea hortensis,Animalia,Mollusca,Gastropoda,Stylommatophora,Helicidae,,,,Species,Hayward & Kevin,,,North,Lower,Sweep-Netting
NLS2,,Human Observation,1,1,individuals,present,,Animalia,Arthropoda,Insecta,Hemiptera,Aphididae,,,,Family,Hayward & Kevin,,,North,Lower,Sweep-Netting
NLS2,,Human Observation,1,1,individuals,present,Zygiella x-notata,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Zygiella,x-notata,,Species,Hayward & Kevin,,,North,Lower,Sweep-Netting
NLS3,,Human Observation,5,5,individuals,present,,Animalia,Arthropoda,Insecta,Hemiptera,Aphididae,,,,Family,Hayward & Kevin,,,North,Lower,Sweep-Netting
NLS3,,Human Observation,1,1,individuals,present,,Animalia,Arthropoda,Insecta,Coleoptera,Caribidae,,,,Family,Hayward & Kevin,,,North,Lower,Sweep-Netting
NLS3,,Human Observation,2,2,individuals,present,,Animalia,Arthropoda,Insecta,Diptera,Ceratopogonidae,,,,Family,Hayward & Kevin,,,North,Lower,Sweep-Netting
NLS4,,Human Observation,1,1,individuals,present,,Animalia,Arthropoda,Insecta,Hemiptera,Aphididae,,,,Family,Hayward & Kevin,,,North,Lower,Sweep-Netting
NLS4,,Human Observation,1,1,individuals,present,,Animalia,Arthropoda,Insecta,Diptera,Ceratopogonidae,,,,Family,Hayward & Kevin,,,North,Lower,Sweep-Netting
NLS4,,Human Observation,1,1,individuals,present,,Animalia,Arthropoda,Insecta,Coleoptera,Caribidae,,,,Family,Hayward & Kevin,,,North,Lower,Sweep-Netting
NLS4,,Human Observation,1,1,individuals,present,,Animalia,Arthropoda,Insecta,Psocodea,,,,,Order,Hayward & Kevin,,,North,Lower,Sweep-Netting
NLS5,,Human Observation,9,9,individuals,present,,Animalia,Arthropoda,Insecta,Hemiptera,Aphididae,,,,Family,Hayward & Kevin,,,North,Lower,Sweep-Netting
NLS5,,Human Observation,2,2,individuals,present,,Animalia,Arthropoda,Insecta,Hemiptera,Cercopidae,,,,Family,Hayward & Kevin,,,North,Lower,Sweep-Netting
NLS5,,Human Observation,1,1,individuals,present,,Animalia,Arthropoda,Insecta,Diptera,Calliphoridae,,,,Family,Hayward & Kevin,,,North,Lower,Sweep-Netting
NLS6,,Human Observation,1,1,individuals,present,,Animalia,Arthropoda,Insecta,Diptera,Ceratopogonidae,,,,Family,Hayward & Kevin,,,North,Lower,Sweep-Netting
NLS6,,Human Observation,1,1,individuals,present,Metellina segementata,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Metellina,segmentata,,Species,Hayward & Kevin,,,North,Lower,Sweep-Netting
SMS1,,Human Observation,18,18,individuals,present,Metellina segementata,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Metellina,segmentata,,Species,Hayward,,,South,Intermediate,Sweep-Netting
SMS1,,Human Observation,1,1,individuals,present,,Animalia,Arthropoda,Arachnida,Araneae,Lycosidae,,,,Family,Hayward,,,South,Intermediate,Sweep-Netting
SMS1,,Human Observation,1,1,individuals,present,,Animalia,Arthropoda,Insecta,Coleoptera,Caribidae,,,,Family,Hayward,,,South,Intermediate,Sweep-Netting
SMS1,,Human Observation,4,4,individuals,present,,Animalia,Arthropoda,Insecta,Hemiptera,Cercopidae,,,,Family,Hayward,,,South,Intermediate,Sweep-Netting
SMS1,,Human Observation,1,1,individuals,present,,Animalia,Arthropoda,Insecta,Hemiptera,Nabidae,,,,Family,Hayward,,,South,Intermediate,Sweep-Netting
SMS1,,Human Observation,1,1,individuals,present,,Animalia,Arthropoda,Arachnida,Araneae,Philodromidae,,,,Family,Hayward,,,South,Intermediate,Sweep-Netting
SMS1,,Human Observation,1,1,individuals,present,,Animalia,Arthropoda,Insecta,Diptera,Tabanidae,,,,Family,Hayward,,,South,Intermediate,Sweep-Netting
SMS1,,Human Observation,5,5,individuals,present,,Animalia,Arthropoda,Insecta,Diptera,Ceratopogonidae,,,,Family,Hayward,,,South,Intermediate,Sweep-Netting
SMS2,,Human Observation,2,2,individuals,present,,Animalia,Arthropoda,Insecta,Hemiptera,Cercopidae,,,,Family,Hayward,,,South,Intermediate,Sweep-Netting
SMS2,,Human Observation,2,2,individuals,present,Metellina segementata,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Metellina,segmentata,,Species,Hayward,,,South,Intermediate,Sweep-Netting
SMS2,,Human Observation,7,7,individuals,present,,Animalia,Arthropoda,Insecta,Diptera,Ceratopogonidae,,,,Family,Hayward,,,South,Intermediate,Sweep-Netting
SMS2,,Human Observation,1,1,individuals,present,Myrmica rubra,Animalia,Arthropoda,Insecta,Hymenoptera,Myrmicinae,Myrmica,rubra,,Species,Hayward,,,South,Intermediate,Sweep-Netting
SMS2,,Human Observation,1,1,individuals,present,Formica fusca,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Formica,fusca,,Family,Hayward,,,South,Intermediate,Sweep-Netting
SMS2,,Human Observation,2,2,individuals,present,,Animalia,Arthropoda,Insecta,Coleoptera,Caribidae,,,,Family,Hayward,,,South,Intermediate,Sweep-Netting
SMS2,,Human Observation,1,1,individuals,present,,Animalia,Arthropoda,Arachnida,Araneae,Linyphiidae,,,,Family,Hayward,,,South,Intermediate,Sweep-Netting
SMS2,,Human Observation,1,1,individuals,present,Tetragnatha sp.,Animalia,Arthropoda,Arachnida,Araneae,Tetragnathidae,Tetragnatha,,,Genus,Hayward,,,South,Intermediate,Sweep-Netting
SMS2,,Human Observation,1,1,individuals,present,,Animalia,Arthropoda,Insecta,Diptera,Sepsidae,,,,Family,Hayward,,,South,Intermediate,Sweep-Netting
SMS2,,Human Observation,1,1,individuals,present,Pachytomella parallela,Animalia,Arthropoda,Insecta,Hemiptera,Miridae,Pachytomella,parallela,,Species,Hayward,,,South,Intermediate,Sweep-Netting
SMS3,,Human Observation,1,1,individuals,present,,Animalia,Arthropoda,Insecta,Hemiptera,Cercopidae,,,,Family,Hayward,,,South,Intermediate,Sweep-Netting
SMS3,,Human Observation,1,1,individuals,present,Tipula sp.,Animalia,Arthropoda,Insecta,Diptera,Tipulidae,Tipula,,,Genus,Hayward,,,South,Intermediate,Sweep-Netting
SMS3,,Human Observation,1,1,individuals,present,,Animalia,Arthropoda,Insecta,Diptera,Sciaridae,,,,Family,Hayward,,,South,Intermediate,Sweep-Netting
SMS4,,Human Observation,1,1,individuals,present,,Animalia,Arthropoda,Arachnida,Araneae,Linyphiidae,,,,Family,Hayward,,,South,Intermediate,Sweep-Netting
SMS4,,Human Observation,2,2,individuals,present,,Animalia,Arthropoda,Insecta,Hemiptera,Cercopidae,,,,Family,Hayward,,,South,Intermediate,Sweep-Netting
SMS4,,Human Observation,5,5,individuals,present,,Animalia,Arthropoda,Insecta,Diptera,Ceratopogonidae,,,,Family,Hayward,,,South,Intermediate,Sweep-Netting
SMS4,,Human Observation,1,1,individuals,present,Pachytomella sp.,Animalia,Arthropoda,Insecta,Hemiptera,Miridae,Pachytomella,,,Genus,Hayward,,,South,Intermediate,Sweep-Netting
SMS4,,Human Observation,1,1,individuals,present,Tetragnatha sp.,Animalia,Arthropoda,Arachnida,Araneae,Tetragnathidae,Tetragnatha,,,Genus,Hayward,,,South,Intermediate,Sweep-Netting
SMS4,,Human Observation,3,3,individuals,present,Metellina segementata,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Metellina,segmentata,,Species,Hayward,,,South,Intermediate,Sweep-Netting
SMS4,,Human Observation,2,2,individuals,present,Zygiella atrica,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Zygiella,atrica,,Species,Hayward,,,South,Intermediate,Sweep-Netting
SMS4,,Human Observation,1,1,individuals,present,,Animalia,Arthropoda,Insecta,Diptera,Dolicopopidae,,,,Family,Hayward,,,South,Intermediate,Sweep-Netting
SMS4,,Human Observation,1,1,individuals,present,,Animalia,Arthropoda,Arachnida,Araneae,Lycosidae,,,,Family,Hayward,,,South,Intermediate,Sweep-Netting
SMS4,,Human Observation,1,1,individuals,present,,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,,,,Family,Hayward,,,South,Intermediate,Sweep-Netting
SMS4,,Human Observation,1,1,individuals,present,Leptopterna sp.,Animalia,Arthropoda,Insecta,Hemiptera,Miridae,Leptoterna,,,Genus,Hayward,,,South,Intermediate,Sweep-Netting
SMS5,,Human Observation,1,1,individuals,present,Metellina segementata,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Metellina,segmentata,,Species,Hayward,,,South,Intermediate,Sweep-Netting
SMS5,,Human Observation,1,1,individuals,present,Tetragnatha sp.,Animalia,Arthropoda,Arachnida,Araneae,Tetragnathidae,Tetragnatha,,,Genus,Hayward,,,South,Intermediate,Sweep-Netting
SMS5,,Human Observation,1,1,individuals,present,,Animalia,Arthropoda,Arachnida,Araneae,Linyphiidae,,,,Family,Hayward,,,South,Intermediate,Sweep-Netting
SMS5,,Human Observation,1,1,individuals,present,,Animalia,Arthropoda,Arachnida,Araneae,Clubionidae,,,,Family,Hayward,,,South,Intermediate,Sweep-Netting
SMS5,,Human Observation,1,1,individuals,present,,Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae,,,,Family,Hayward,,,South,Intermediate,Sweep-Netting
SMS5,,Human Observation,1,1,individuals,present,,Animalia,Arthropoda,Insecta,Thysanoptera,Phlaeothripidae,,,,Family,Hayward,,,South,Intermediate,Sweep-Netting
SMS5,,Human Observation,3,3,individuals,present,,Animalia,Arthropoda,Insecta,Diptera,Dolicopopidae,,,,Family,Hayward,,,South,Intermediate,Sweep-Netting
SMS5,,Human Observation,8,8,individuals,present,Lipoptena cervi,Animalia,Arthropoda,Insecta,Diptera,Hippoboscidae,Lipoptena,cervi,,Species,Hayward,,,South,Intermediate,Sweep-Netting
SMS5,,Human Observation,12,12,individuals,present,,Animalia,Arthropoda,Insecta,Diptera,Ceratopogonidae,,,,Family,Hayward,,,South,Intermediate,Sweep-Netting
SHS1,,Human Observation,1,1,individuals,present,Araneus quadratus,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Araneus,Araneus quadratus,,Species,Beñat,,,South,Upper,Sweep-Netting
SHS1,,Human Observation,2,2,individuals,present,,Animalia,Arthropoda,Arachnida,Araneae,Tetragnathidae,,,,Family,Beñat,,,South,Upper,Sweep-Netting
SHS1,,Human Observation,1,1,individuals,present,,Animalia,Arthropoda,Insecta,Hymenoptera,Tenthredinidae,,,,Family,Beñat,,,South,Upper,Sweep-Netting
SHS1,,Human Observation,2,2,individuals,present,,Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae,,,,Family,Beñat,,,South,Upper,Sweep-Netting
SHS1,,Human Observation,1,1,individuals,present,,Animalia,Arthropoda,Insecta,Diptera,,,,,Order,Beñat,,,South,Upper,Sweep-Netting
SHS1,,Human Observation,1,1,individuals,present,,Animalia,Arthropoda,Insecta,Thysanoptera,,,,,Order,Beñat,,,South,Upper,Sweep-Netting
SHS2,,Human Observation,3,3,individuals,present,,Animalia,Arthropoda,Arachnida,Araneae,Tetragnathidae,,,,Family,Beñat,,,South,Upper,Sweep-Netting
SHS2,,Human Observation,1,1,individuals,present,Odiellus spinosus,Animalia,Arthropoda,Arachnida,Opiliones,Phalangiidae,Odiellus,Odiellus spinosus,,Species,Beñat,,,South,Upper,Sweep-Netting
SHS2,,Human Observation,3,3,individuals,present,,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,,,,Family,Beñat,,,South,Upper,Sweep-Netting
SHS3,,Human Observation,1,1,individuals,present,,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,,,,Family,Beñat,,,South,Upper,Sweep-Netting
SHS3,,Human Observation,1,1,individuals,present,,Animalia,Arthropoda,Arachnida,Araneae,Clubionidae,,,,Family,Beñat,,,South,Upper,Sweep-Netting
SHS4,,Human Observation,5,5,individuals,present,,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,,,,Family,Beñat,,,South,Upper,Sweep-Netting
SHS4,,Human Observation,1,1,individuals,present,,Animalia,Arthropoda,Insecta,Diptera,,,,,Order,Beñat,,,South,Upper,Sweep-Netting
SHS4,,Human Observation,1,1,individuals,present,,Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae,,,,Family,Beñat,,,South,Upper,Sweep-Netting
SHS4,,Human Observation,1,1,individuals,present,,Animalia,Mollusca,Gastropoda,,,,,,,Beñat,,,South,Upper,Sweep-Netting
SHS4,,Human Observation,1,1,individuals,present,,Animalia,Arthropoda,Arachnida,Araneae,Tetragnathidae,,,,Family,Beñat,,,South,Upper,Sweep-Netting
SHS4,,Human Observation,1,1,individuals,present,,Animalia,Arthropoda,Insecta,Diptera,Limoniidae,,,,Family,Beñat,,,South,Upper,Sweep-Netting
SHS5,,Human Observation,1,1,individuals,present,,Animalia,Arthropoda,Insecta,Hemiptera,Aphididae,,,,Family,Beñat,,,South,Upper,Sweep-Netting
SHS5,,Human Observation,1,1,individuals,present,,Animalia,Arthropoda,Insecta,Diptera,Limoniidae,,,,Family,Beñat,,,South,Upper,Sweep-Netting
SHS5,,Human Observation,2,2,individuals,present,,Animalia,Arthropoda,Arachnida,Araneae,Tetragnathidae,,,,Family,Beñat,,,South,Upper,Sweep-Netting
SHS5,,Human Observation,1,1,individuals,present,,Animalia,Arthropoda,Insecta,Hemiptera,Lygaeidae,,,,Family,Beñat,,,South,Upper,Sweep-Netting
SHS6,,Human Observation,2,2,individuals,present,,Animalia,Arthropoda,Arachnida,Araneae,Tetragnathidae,,,,Family,Beñat,,,South,Upper,Sweep-Netting
SHS6,,Human Observation,3,3,individuals,present,,Animalia,Arthropoda,Insecta,Diptera,,,,,Order,Beñat,,,South,Upper,Sweep-Netting
SHS6,,Human Observation,1,1,individuals,present,,Animalia,Arthropoda,Insecta,Diptera,Tipulidae,,,,Family,Beñat,,,South,Upper,Sweep-Netting
SHS7,,Human Observation,1,1,individuals,present,,Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae,,,,Family,Beñat,,,South,Upper,Sweep-Netting
SHS7,,Human Observation,1,1,individuals,present,,Animalia,Arthropoda,Insecta,Hemiptera,Cixiidae,,,,Family,Beñat,,,South,Upper,Sweep-Netting
SHS7,,Human Observation,1,1,individuals,present,Gonatium rubens,Animalia,Arthropoda,Arachnida,Araneae,Linyphiidae,Gonatium,Gonatium rubens,,Species,Beñat,,,South,Upper,Sweep-Netting
SHS7,,Human Observation,2,2,individuals,present,,Animalia,Arthropoda,Arachnida,Araneae,Tetragnathidae,,,,Family,Beñat,,,South,Upper,Sweep-Netting
NHS1,,Human Observation,5,5,individuals,present,,Animalia,Arthropoda,Insecta,Diptera,Ceratopogonidae,,,,Family,"Hayward, Hazel & Kevin",,,North,Upper,Sweep-Netting
NHS1,,Human Observation,3,3,individuals,present,,Animalia,Arthropoda,Insecta,Hemiptera,Miridae,,,,Family,"Hayward, Hazel & Kevin",,,North,Upper,Sweep-Netting
NHS1,,Human Observation,1,1,individuals,present,Scathophaga stercoraria,Animalia,Arthropoda,Insecta,Diptera,Scathophagidae,Scathophaga,stercoraria,,Species,"Hayward, Hazel & Kevin",,,North,Upper,Sweep-Netting
NHS2,,Human Observation,1,1,individuals,present,,Animalia,Arthropoda,Insecta,Hemiptera,Cercopidae,,,,Family,"Hayward, Hazel & Kevin",,,North,Upper,Sweep-Netting
NHS3,,Human Observation,6,6,individuals,present,Conomelus sp.,Animalia,Arthropoda,Insecta,Hemiptera,Delphacidae,Conomelus,,,Genus,"Hayward, Hazel & Kevin",,,North,Upper,Sweep-Netting
NHS3,,Human Observation,1,1,individuals,present,,Animalia,Arthropoda,Insecta,Coleoptera,Apionidae,Perapion,violaceum,,Species,"Hayward, Hazel & Kevin",,,North,Upper,Sweep-Netting
NHS3,,Human Observation,3,3,individuals,present,,Animalia,Arthropoda,Insecta,Diptera,Ceratopogonidae,,,,Family,"Hayward, Hazel & Kevin",,,North,Upper,Sweep-Netting
NHS4,,Human Observation,9,9,individuals,present,Conomelus sp.,Animalia,Arthropoda,Insecta,Hemiptera,Delphacidae,Conomelus,,,Genus,"Hayward, Hazel & Kevin",,,North,Upper,Sweep-Netting
NHS4,,Human Observation,5,5,individuals,present,,Animalia,Arthropoda,Insecta,Diptera,Ceratopogonidae,,,,Family,"Hayward, Hazel & Kevin",,,North,Upper,Sweep-Netting
NHS4,,Human Observation,1,1,individuals,present,,Animalia,Arthropoda,Insecta,Coleoptera,,,,larvae,Order,"Hayward, Hazel & Kevin",,,North,Upper,Sweep-Netting
NHS4,,Human Observation,1,1,individuals,present,Notostira elongata,Animalia,Arthropoda,Insecta,Hemiptera,Miridae,Notostira,elongata,,Species,"Hayward, Hazel & Kevin",,,North,Upper,Sweep-Netting
NHS4,,Human Observation,1,1,individuals,present,Entomobrya nivalis,Animalia,Arthropoda,Collembola,Entomobryomorpha,Entomobryidae,Entomobrya,nivalis,,Species,"Hayward, Hazel & Kevin",,,North,Upper,Sweep-Netting
NHS4,,Human Observation,1,1,individuals,present,Empis livida,Animalia,Arthropoda,Insecta,Diptera,Empididae,Empis,livida,,Species,"Hayward, Hazel & Kevin",,,North,Upper,Sweep-Netting
NHS4,,Human Observation,4,4,individuals,present,Araneus quadratus,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Araneus,quadratus,,Species,"Hayward, Hazel & Kevin",,,North,Upper,Sweep-Netting
NHS5,,Human Observation,1,1,individuals,present,,Animalia,Arthropoda,Arachnida,Araneae,Lycosidae,,,,Family,"Hayward, Hazel & Kevin",,,North,Upper,Sweep-Netting
NHS5,,Human Observation,2,2,individuals,present,Araneus quadratus,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Araneus,quadratus,,Species,"Hayward, Hazel & Kevin",,,North,Upper,Sweep-Netting
NHS5,,Human Observation,5,5,individuals,present,Tetragnatha sp.,Animalia,Arthropoda,Arachnida,Araneae,Tetragnathidae,Tetragnatha,,,Genus,"Hayward, Hazel & Kevin",,,North,Upper,Sweep-Netting
NHS5,,Human Observation,3,3,individuals,present,Metellina segementata,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Metellina,segmentata,,Species,"Hayward, Hazel & Kevin",,,North,Upper,Sweep-Netting
NHS5,,Human Observation,2,2,individuals,present,Stygnocoris sabulosus,Animalia,Arthropoda,Insecta,Hemiptera,Lygaeidae,Stygnocoris,sabulosus,,Species,"Hayward, Hazel & Kevin",,,North,Upper,Sweep-Netting
NHS5,,Human Observation,8,8,individuals,present,,Animalia,Arthropoda,Insecta,Hemiptera,Delphacidae,Conomelus,,,Genus,"Hayward, Hazel & Kevin",,,North,Upper,Sweep-Netting
NHS5,,Human Observation,3,3,individuals,present,,Animalia,Arthropoda,Insecta,Diptera,Ceratopogonidae,,,,Family,"Hayward, Hazel & Kevin",,,North,Upper,Sweep-Netting
NMS1,,Human Observation,1,1,individuals,present,,Animalia,Arthropoda,Insecta,Hemiptera,Aphididae,,,,Family,Hayward & Hazel,,,North,Intermediate,Sweep-Netting
NMS1,,Human Observation,1,1,individuals,present,,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,,,,Family,Hayward & Hazel,,,North,Intermediate,Sweep-Netting
NMS1,,Human Observation,1,1,individuals,present,Metellina segementata,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Metellina,segmentata,,Species,Hayward & Hazel,,,North,Intermediate,Sweep-Netting
NMS2,,Human Observation,3,3,individuals,present,,Animalia,Arthropoda,Insecta,Hemiptera,Aphididae,,,,Family,Hayward & Hazel,,,North,Intermediate,Sweep-Netting
NMS2,,Human Observation,2,2,individuals,present,,Animalia,Arthropoda,Insecta,Diptera,Ceratopogonidae,,,,Family,Hayward & Hazel,,,North,Intermediate,Sweep-Netting
NMS2,,Human Observation,2,2,individuals,present,,Animalia,Arthropoda,Insecta,Hemiptera,Cercopidae,,,,Family,Hayward & Hazel,,,North,Intermediate,Sweep-Netting
NMS2,,Human Observation,1,1,individuals,present,,Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae,,,,Family,Hayward & Hazel,,,North,Intermediate,Sweep-Netting
